 x y yerr
0 1.0 1.17518197903 0.3
1 1.09854114199 0.265496910337 0.248592831856
2 1.20679264064 0.694058588513 0.205994653501
3 1.32571136559 0.743325935784 0.170695980871
4 1.4563484775 0.317111612175 0.141445990904
5 1.59985871961 0.336152109038 0.117208198112
6 1.75751062485 0.298876018768 0.0971237262845
7 1.93069772888 0.208417607956 0.0804808738584
8 2.12095088792 0.166473367267 0.0666898944758
9 2.32995181052 0.134965496785 0.0552620990798
10 2.5595479227 0.143382588056 0.0457925390153
11 2.81176869797 0.0990322912403 0.0379456565057
12 3.08884359648 0.0738553871147 0.0314433940246
13 3.3932217719 0.0998830883718 0.0260553412125
14 3.72759372031 0.0540687253587 0.02159057019
15 4.09491506238 0.0841192768961 0.0178908699498
16 4.49843266897 0.0365890769477 0.014825140084
17 4.94171336132 0.0420055429759 0.0122847451871
18 5.42867543932 0.0311006296802 0.0101796653157
19 5.96362331659 0.0325014679194 0.00843530609392
20 6.5512855686 0.0159837685693 0.00698985543155
21 7.19685673001 0.0238945466426 0.00579209318665
22 7.90604321091 0.0150209762715 0.00479957615882
23 8.68511373751 0.00704216879115 0.00397713409677
24 9.5409547635 0.00955855860604 0.00329562342596
25 10.4811313415 0.0114768854665 0.00273089453397
26 11.5139539933 0.00533584135255 0.00226293601901
27 12.6485521686 0.00883365578048 0.00187516557758
28 13.8949549437 0.00637436788495 0.00155384240377
29 15.2641796718 0.002830129433 0.00128758027804
30 16.7683293681 0.00364390461151 0.00106694409187
31 18.4206996933 0.00356154386928 0.000884115510766
32 20.2358964773 0.00204263411416 0.000732615928365
33 22.2299648253 0.00181285055421 0.000607076894318
34 24.4205309455 0.00133023280949 0.000503049881043
35 26.8269579528 0.00157537009001 0.000416848648312
36 29.4705170255 0.00134478232749 0.000345418619798
37 32.3745754282 0.00130313677494 0.000286228642905
38 35.5648030622 0.000738678815235 0.000237181296327
39 39.0693993705 0.000404881665923 0.000196538567058
40 42.9193426013 0.000381267835982 0.00016286026318
41 47.1486636346 0.000311838815446 0.000134952980069
42 51.7947467923 0.000398961563808 0.000111827811609
43 56.8986602902 0.000148858792325 9.26653078943e-05
44 62.5055192527 0.000286498795765 7.6786437681e-05
45 68.6648845004 0.000296448892622 6.36285266376e-05
46 75.4312006335 0.00012032918747 5.27253187456e-05
47 82.8642772855 0.000113910288032 4.3690454325e-05
48 91.0298177992 6.7928920328e-05 3.62037792192e-05
49 100.0 0.00018008091432 3e-05
